slug,name,app,club_id,club_id_access,union,max_rakeback_percent,peak_traffic_display,peak_traffic_min_players,peak_traffic_max_players,peak_traffic_open_ended,games,stakes,countries,nfnd,jackpot,source_updated_at,source_url
game-of-molly,Game Of Molly,X-Poker,,Ask listed representative,Black Sea,60,350–700 players,350,700,false,NLH|PLO6,Micro|Mid Stakes|High Stakes,CIS,true,false,2026-06-18,https://pppoker-catalog.com/clubs/game-of-molly/
777-club,777 Club,X-Poker,,Ask listed representative,Malaysia Union,50,400–800 players,400,800,false,NLH|PLO6|AOF|PUSOY|SUSHI,Micro|Mid Stakes,Vietnam,false,false,2026-06-18,https://pppoker-catalog.com/clubs/777-club/
the-flying-dutchman,The Flying Dutchman,PokerBros,,Ask listed representative,Paradise Union,50,1000+ players,1000,,true,NLH|PLO4|PLO6|SPIN-IT|MTT,Micro|Mid Stakes,USA,false,true,2026-07-23,https://pppoker-catalog.com/clubs/the-flying-dutchman/
malibu-sunsets,Malibu Sunsets,PokerBros,,Ask listed representative,Stars & Stripes Union,50,500+ players,500,,true,PLO5|PLO6|HEADS-UP|MTT,Micro|Mid Stakes,USA,false,true,2026-07-23,https://pppoker-catalog.com/clubs/malibu-sunsets/
npn-massiv,NPN Massiv,ClubGG,,Ask listed representative,Massiv Union,60,1000+ players,1000,,true,NLH|PLO4|PLO5|PLO6|HEADS-UP|MTT|SNG|AOF,Micro|Mid Stakes|High Stakes|High Roller,USA,false,true,2026-07-22,https://pppoker-catalog.com/clubs/npn-massiv/
machines,Machines,ClubGG,,Ask listed representative,TMT (Time Machine Tables Union),60,700+ players,700,,true,NLH|PLO4|MTT,Mid Stakes|High Stakes|High Roller,USA,false,true,2026-07-23,https://pppoker-catalog.com/clubs/machines/
nuts,Nuts,PPPoker,,Ask listed representative,Evolution Poker,50,400–500+ players,400,500,true,NLH|PLO5|PLO6|AOF|OFC|MTT,Micro|Mid Stakes|High Stakes,Latin America,false,true,2026-07-23,https://pppoker-catalog.com/clubs/nuts/
goldfish,GoldFish,X-Poker,,Ask listed representative,Taiwan Union,50,300–600 players,300,600,false,NLH|AOF|PLO4,Mid Stakes|High Stakes,Thailand|Taiwan,true,false,2026-06-18,https://pppoker-catalog.com/clubs/goldfish/
gambit,Gambit,X-Poker,,Ask listed representative,Philippines,50,500+ players,500,,true,NLH|PLO4|OFC|PUSOY|MTT,Micro|Mid Stakes,Philippines,false,true,2026-07-23,https://pppoker-catalog.com/clubs/gambit/
gambits-room,Gambit's Room,PPPoker,,Ask listed representative,Pinoy Donks,60,600+ players,600,,true,NLH|PLO5|SHORT-DECK|HEADS-UP,Micro|Mid Stakes,Philippines,false,true,2026-07-23,https://pppoker-catalog.com/clubs/gambits-room/
mollys-pppoker,Molly's,PPPoker,,Ask listed representative,Yamal,65,450–900 players,450,900,false,NLH|PLO4|PLO5,Micro|Mid Stakes|High Stakes,CIS,true,false,2026-06-18,https://pppoker-catalog.com/clubs/mollys-pppoker/

